1	Tree	True TBR	Random TBR	MCTS TBR	Random diff	MCTS diff	R diff %	MCTS diff %
2	TREEPAIR_50_15_50_01	13	13	14	0	1	0%	8%
3	TREEPAIR_50_15_50_02	14	15	16	1	2	7%	14%
4	TREEPAIR_50_15_50_03	14	16	16	2	2	14%	14%
5	TREEPAIR_50_15_50_04	13	14	14	1	1	8%	8%
6	TREEPAIR_50_15_50_05	14	15	15	1	1	7%	7%
7	TREEPAIR_50_15_70_01	14	14	14	0	0	0%	0%
8	TREEPAIR_50_15_70_02	15	16	17	1	2	7%	13%
9	TREEPAIR_50_15_70_03	14	16	15	2	1	14%	7%
10	TREEPAIR_50_15_70_04	15	17	18	2	3	13%	20%
11	TREEPAIR_50_15_70_05	14	15	15	1	1	7%	7%
12	TREEPAIR_50_15_90_01	13	14	15	1	2	8%	15%
13	TREEPAIR_50_15_90_02	14	16	17	2	3	14%	21%
14	TREEPAIR_50_15_90_03	13	14	13	1	0	8%	0%
15	TREEPAIR_50_15_90_04	13	13	13	0	0	0%	0%
16	TREEPAIR_50_15_90_05	13	15	14	2	1	15%	8%
17	TREEPAIR_50_35_50_01	21	24	23	3	2	14%	10%
18	TREEPAIR_50_35_50_02	23	28	28	5	5	22%	22%
19	TREEPAIR_50_35_50_03	24	28	28	4	4	17%	17%
20	TREEPAIR_50_35_50_04	24	29	29	5	5	21%	21%
21	TREEPAIR_50_35_50_05	24	28	29	4	5	17%	21%
22	TREEPAIR_50_35_70_01	25	26	30	1	5	4%	20%
23	TREEPAIR_50_35_70_02	24	27	27	3	3	13%	13%
24	TREEPAIR_50_35_70_03	22	27	26	5	4	23%	18%
25	TREEPAIR_50_35_70_04	23	28	28	5	5	22%	22%
26	TREEPAIR_50_35_70_05	22	26	26	4	4	18%	18%
27	TREEPAIR_50_35_90_01	25	28	31	3	6	12%	24%
28	TREEPAIR_50_35_90_02	26	31	32	5	6	19%	23%
29	TREEPAIR_50_35_90_03	25	29	28	4	3	16%	12%
