TREEPAIR_50_15_50_01, k=13, count=513369, t=44.59797610032249, t2=5.0260944000062
TREEPAIR_50_15_50_02, k=15, count=409171, t=45.04839370048033, t2=4.286075299993588
TREEPAIR_50_15_50_03, k=16, count=437467, t=44.72500620040846, t2=4.585141299991778
TREEPAIR_50_15_50_04, k=14, count=397790, t=45.565338500278344, t2=4.513302600005336
TREEPAIR_50_15_50_05, k=15, count=474966, t=44.858251700425775, t2=4.970248799990829
TREEPAIR_50_15_70_01, k=14, count=521030, t=43.609688000328234, t2=5.195785299997053
TREEPAIR_50_15_70_02, k=16, count=372331, t=44.453698400297434, t2=4.141362999997853
TREEPAIR_50_15_70_03, k=16, count=443069, t=45.345065200201624, t2=4.868340599999111
TREEPAIR_50_15_70_04, k=17, count=375137, t=44.955625000221936, t2=4.3548216000063285
TREEPAIR_50_15_70_05, k=15, count=389149, t=45.00843860035244, t2=4.386438700002478
TREEPAIR_50_15_90_01, k=14, count=396391, t=43.75571570034831, t2=4.498913800003422
TREEPAIR_50_15_90_02, k=16, count=428607, t=43.67655060038159, t2=4.645439399997349
TREEPAIR_50_15_90_03, k=14, count=367453, t=45.18204010022257, t2=4.241575000004666
TREEPAIR_50_15_90_04, k=13, count=521390, t=43.04851720024749, t2=5.379101199986298
TREEPAIR_50_15_90_05, k=15, count=420455, t=44.50930890025414, t2=4.6605292000008
TREEPAIR_50_35_50_01, k=24, count=315905, t=44.734443200279244, t2=3.924192099994992
TREEPAIR_50_35_50_02, k=28, count=348924, t=44.034355000373985, t2=4.2523039999927885
TREEPAIR_50_35_50_03, k=28, count=310288, t=45.91385550031324, t2=3.9076772999978546
TREEPAIR_50_35_50_04, k=29, count=322552, t=45.738004300321506, t2=3.955930599992877
TREEPAIR_50_35_50_05, k=28, count=299071, t=44.7008457002832, t2=3.7558691999982927
TREEPAIR_50_35_70_01, k=26, count=318525, t=45.24063730016334, t2=3.860736699995174
TREEPAIR_50_35_70_02, k=27, count=350360, t=45.22932820031859, t2=4.195937499997011
TREEPAIR_50_35_70_03, k=27, count=319848, t=45.30280670026902, t2=3.945847299993359
TREEPAIR_50_35_70_04, k=28, count=326268, t=44.35420240026374, t2=4.031634299993334
TREEPAIR_50_35_70_05, k=26, count=324787, t=45.30232600018602, t2=3.9816468999929855
TREEPAIR_50_35_90_01, k=28, count=323118, t=44.42578220030723, t2=3.9800657999950535
TREEPAIR_50_35_90_02, k=31, count=308282, t=44.18685610045882, t2=3.7301024999952026
TREEPAIR_50_35_90_03, k=29, count=342553, t=42.96659140029531, t2=4.230314899992727
TREEPAIR_50_35_90_04, k=28, count=302828, t=44.177228700348024, t2=3.774849099995391
TREEPAIR_50_35_90_05, k=28, count=340365, t=43.67852640029316, t2=4.109240799996377
TREEPAIR_150_15_50_01, k=21, count=74666, t=49.58181470001732, t2=2.8334164000002433
TREEPAIR_150_15_50_02, k=19, count=97840, t=48.873661800019576, t2=3.4333655999999984
TREEPAIR_150_15_50_03, k=20, count=100564, t=48.86346760004466, t2=3.7400518000000953
TREEPAIR_150_15_50_04, k=19, count=99473, t=49.21011060002831, t2=3.625717000000208
TREEPAIR_150_15_50_05, k=17, count=93688, t=49.641346200044254, t2=3.4627909999998994
TREEPAIR_150_15_70_01, k=21, count=78837, t=49.52744680004397, t2=2.9741994000002787
TREEPAIR_150_15_70_02, k=20, count=100306, t=49.922923300051565, t2=3.8091331000005075
TREEPAIR_150_15_70_03, k=19, count=91366, t=49.52253700007019, t2=3.45685420000039
TREEPAIR_150_15_70_04, k=19, count=84439, t=50.21038100003291, t2=3.220810900000246
TREEPAIR_150_15_70_05, k=17, count=118309, t=49.27158470003154, t2=4.320709899999978
TREEPAIR_150_15_90_01, k=17, count=89408, t=49.36107450005652, t2=3.591577200000523
TREEPAIR_150_15_90_02, k=21, count=85103, t=49.82567550003319, t2=3.2144670000003117
TREEPAIR_150_15_90_03, k=18, count=76267, t=49.6598726000107, t2=2.9962985000002
TREEPAIR_150_15_90_04, k=21, count=72615, t=50.17686000005838, t2=2.8417040000000124
TREEPAIR_150_15_90_05, k=18, count=85347, t=50.44790740001069, t2=3.2581892000002184
TREEPAIR_150_35_50_01, k=47, count=60036, t=50.52341660002983, t2=2.4507873000000195
TREEPAIR_150_35_50_02, k=46, count=54939, t=50.40233320003572, t2=2.161848300000202
TREEPAIR_150_35_50_03, k=48, count=59432, t=50.18638000003937, t2=2.4553710000002105
TREEPAIR_150_35_50_04, k=52, count=51144, t=50.7836625000377, t2=2.1711226000000976
TREEPAIR_150_35_50_05, k=49, count=58437, t=50.62527190002723, t2=2.4142662000001205
TREEPAIR_150_35_70_01, k=49, count=53558, t=50.64112040004726, t2=2.21048450000007
TREEPAIR_150_35_70_02, k=50, count=63266, t=49.41823270004649, t2=2.6226474000000914
TREEPAIR_150_35_70_03, k=39, count=64390, t=49.98897700005254, t2=2.5298163000002063
TREEPAIR_150_35_70_04, k=50, count=61218, t=49.70032370003597, t2=2.4392157000003163
TREEPAIR_150_35_70_05, k=44, count=65513, t=49.78695230004181, t2=2.6838588999999926
TREEPAIR_150_35_90_01, k=48, count=47400, t=50.128346700042435, t2=2.0057901000001515
TREEPAIR_150_35_90_02, k=50, count=50461, t=50.372985500028136, t2=2.0977849000001583
TREEPAIR_150_35_90_03, k=49, count=54257, t=50.170373800036415, t2=2.274203300000225
TREEPAIR_150_35_90_04, k=51, count=52669, t=50.0540797000307, t2=2.1951090000002216
TREEPAIR_150_35_90_05, k=46, count=57842, t=49.82007210002679, t2=2.377919800000035
TREEPAIR_250_15_50_01, k=23, count=65488, t=49.92229550001912, t2=4.150254699999875
TREEPAIR_250_15_50_02, k=23, count=74305, t=49.50371870003398, t2=4.3722363999999345
TREEPAIR_250_15_50_03, k=20, count=59128, t=49.04627060003175, t2=3.6944335999998157
TREEPAIR_250_15_50_04, k=17, count=74112, t=49.42722950002423, t2=4.59715779999997
TREEPAIR_250_15_50_05, k=19, count=63382, t=49.93668040003726, t2=3.8251547999998334
TREEPAIR_250_15_70_01, k=20, count=59884, t=50.13329960003071, t2=3.79830019999982
TREEPAIR_250_15_70_02, k=24, count=64112, t=49.837495100018394, t2=4.008563699999761
TREEPAIR_250_15_70_03, k=23, count=68213, t=49.69393300003155, t2=4.329073999999938
TREEPAIR_250_15_70_04, k=20, count=63271, t=49.82114940003093, t2=3.926500999999856
TREEPAIR_250_15_70_05, k=20, count=68135, t=49.25911700002872, t2=4.230834699999926
TREEPAIR_250_15_90_01, k=19, count=53828, t=51.64520090001045, t2=3.506312999999818
TREEPAIR_250_15_90_02, k=20, count=37036, t=52.379903900007996, t2=2.6900828999999966
TREEPAIR_250_15_90_03, k=23, count=52480, t=50.12784320002617, t2=3.4722514999999885
TREEPAIR_250_15_90_04, k=21, count=33902, t=52.63511990000734, t2=2.479141199999954
TREEPAIR_250_15_90_05, k=21, count=45832, t=50.33887870001383, t2=2.9466038999999395
TREEPAIR_250_35_50_01, k=56, count=34996, t=50.869812400017615, t2=2.316659900000021
TREEPAIR_250_35_50_02, k=57, count=37620, t=50.08941420002095, t2=2.540133000000028
TREEPAIR_250_35_50_03, k=58, count=36183, t=50.60366240002525, t2=2.4099424000000615
TREEPAIR_250_35_50_04, k=62, count=34281, t=50.64037010002786, t2=2.2988433000000454
TREEPAIR_250_35_50_05, k=59, count=33058, t=50.36578490001716, t2=2.227121700000009
TREEPAIR_250_35_70_01, k=57, count=38833, t=50.88990550002506, t2=2.6087011000000215
TREEPAIR_250_35_70_02, k=54, count=34817, t=50.81692190003743, t2=2.3646023999999817
TREEPAIR_250_35_70_03, k=57, count=37703, t=50.671732900034186, t2=2.4803491999999965
TREEPAIR_250_35_70_04, k=60, count=33635, t=49.7103372000366, t2=2.2384809000000336
TREEPAIR_250_35_70_05, k=58, count=35494, t=50.882820700026315, t2=2.3817624000000213
TREEPAIR_250_35_90_01, k=66, count=25602, t=51.47917130000133, t2=1.8626164000000365
TREEPAIR_250_35_90_02, k=56, count=21143, t=51.35747080000401, t2=1.5803063000000228
TREEPAIR_250_35_90_03, k=58, count=24723, t=51.54225350001742, t2=1.855971800000032
TREEPAIR_250_35_90_04, k=65, count=23901, t=52.06412090000958, t2=1.7384507000000184
TREEPAIR_250_35_90_05, k=62, count=25288, t=52.146219400006096, t2=1.8750318000000175
TREEPAIR_350_15_50_01, k=23, count=40821, t=51.13064680001294, t2=3.618119600000139
TREEPAIR_350_15_50_02, k=24, count=45152, t=49.938047400017254, t2=3.8436185000001255
TREEPAIR_350_15_50_03, k=21, count=43675, t=50.20591990001825, t2=3.8464789000001587
TREEPAIR_350_15_50_04, k=21, count=43153, t=50.49267950001735, t2=3.7619241000001606
TREEPAIR_350_15_50_05, k=25, count=37256, t=50.039382800017435, t2=3.338273500000102
TREEPAIR_350_15_70_01, k=21, count=38875, t=51.633930300016225, t2=3.400754400000114
TREEPAIR_350_15_70_02, k=26, count=35213, t=51.2284348000084, t2=3.16033930000008
TREEPAIR_350_15_70_03, k=21, count=43039, t=51.123054800006386, t2=3.7535885000001343
TREEPAIR_350_15_70_04, k=23, count=38977, t=50.347132000012564, t2=3.446865300000091
TREEPAIR_350_15_70_05, k=25, count=41589, t=50.40344830001067, t2=3.669613500000113
TREEPAIR_350_15_90_01, k=19, count=27888, t=51.919280000004875, t2=2.6387670000000765
TREEPAIR_350_15_90_02, k=21, count=28439, t=51.14387459999367, t2=2.7255046000000718
TREEPAIR_350_15_90_03, k=24, count=32544, t=52.175361900017386, t2=2.9877633000000707
TREEPAIR_350_15_90_04, k=25, count=28409, t=52.335812000004665, t2=2.666400700000069
TREEPAIR_350_15_90_05, k=20, count=27143, t=52.70173980000372, t2=2.537825200000046
TREEPAIR_350_35_50_01, k=62, count=23145, t=51.902339400008984, t2=2.1378876999999985
TREEPAIR_350_35_50_02, k=66, count=21139, t=51.50571920000068, t2=2.0057999000000275
TREEPAIR_350_35_50_03, k=65, count=19868, t=51.20862570000474, t2=1.8505345000000204
TREEPAIR_350_35_50_04, k=62, count=20810, t=51.312187700011094, t2=1.9297153000000122
TREEPAIR_350_35_50_05, k=66, count=21351, t=51.97039330000425, t2=1.9961517000000515
TREEPAIR_350_35_70_01, k=57, count=21477, t=51.59335660000644, t2=2.037049600000043
TREEPAIR_350_35_70_02, k=63, count=21013, t=52.36278600000302, t2=1.9651190000000478
TREEPAIR_350_35_70_03, k=73, count=21223, t=51.35624400001234, t2=1.9600343000000195
TREEPAIR_350_35_70_04, k=63, count=21835, t=51.53050790001159, t2=2.0486074000000523
TREEPAIR_350_35_70_05, k=62, count=21414, t=51.939106200013214, t2=2.0582804000000325
TREEPAIR_350_35_90_01, k=66, count=20780, t=52.23352110000544, t2=2.0167983000000396
TREEPAIR_350_35_90_02, k=69, count=18613, t=51.88968910000295, t2=1.8268173000000225
TREEPAIR_350_35_90_03, k=63, count=17362, t=52.69843510000581, t2=1.7185183000000088
TREEPAIR_350_35_90_04, k=66, count=19545, t=52.701879900007995, t2=1.9159419000000284
TREEPAIR_350_35_90_05, k=80, count=17508, t=52.46270560000691, t2=1.7354014000000155

TREEPAIR_500_35_50_01, k=72, count=18806, t=50.77111080000867, t2=2.394235799999999
TREEPAIR_500_35_50_02, k=72, count=17682, t=51.949988200002366, t2=2.209822200000013
TREEPAIR_500_35_50_03, k=68, count=17373, t=51.57149940001025, t2=2.184416400000011
TREEPAIR_500_35_50_04, k=68, count=19950, t=51.38218480000564, t2=2.485974999999996
TREEPAIR_500_35_50_05, k=68, count=18029, t=51.736936000003695, t2=2.3241546999999962
TREEPAIR_500_35_70_01, k=68, count=17882, t=51.72890640000167, t2=2.2617799000000063
TREEPAIR_500_35_70_02, k=70, count=16395, t=51.08717630000435, t2=2.124490400000016
TREEPAIR_500_35_70_03, k=72, count=15314, t=51.466631000007496, t2=2.0041511000000107
TREEPAIR_500_35_70_04, k=60, count=20484, t=51.46081260001175, t2=2.6197826999999814
TREEPAIR_500_35_70_05, k=68, count=18062, t=51.85609500000589, t2=2.3629559999999987
TREEPAIR_500_35_90_01, k=60, count=9693, t=53.139555900004666, t2=1.3971044999999942
TREEPAIR_500_35_90_02, k=74, count=8822, t=53.075412399999756, t2=1.2750913999999984
TREEPAIR_500_35_90_03, k=79, count=8922, t=52.81425300000172, t2=1.3016003999999954
TREEPAIR_500_35_90_04, k=73, count=10262, t=53.42273880000725, t2=1.4797642999999958
TREEPAIR_500_35_90_05, k=67, count=14656, t=51.75105130000485, t2=1.9739391999999958
TREEPAIR_1000_35_50_01, k=77, count=9091, t=52.64732360000072, t2=2.3737940000000073
TREEPAIR_1000_35_50_02, k=79, count=8296, t=53.091164299998994, t2=2.2106122000000132
TREEPAIR_1000_35_50_03, k=73, count=8853, t=52.653741200003495, t2=2.3031752000000054
TREEPAIR_1000_35_50_04, k=73, count=8740, t=52.293465100000304, t2=2.291926900000011
TREEPAIR_1000_35_50_05, k=75, count=9599, t=52.10419140000158, t2=2.5244981000000064
TREEPAIR_1000_35_70_01, k=77, count=8401, t=52.874312500004244, t2=2.2936108999999973
TREEPAIR_1000_35_70_02, k=80, count=8694, t=52.6864919000023, t2=2.3558477000000044
TREEPAIR_1000_35_70_03, k=88, count=7829, t=52.47786870000042, t2=2.130769600000001
TREEPAIR_1000_35_70_04, k=77, count=8621, t=52.57084649999874, t2=2.301120400000005
TREEPAIR_1000_35_70_05, k=79, count=7888, t=53.11510500000273, t2=2.2131091999999937
TREEPAIR_1000_35_90_01, k=89, count=6444, t=54.052150299998885, t2=1.8989588000000035
TREEPAIR_1000_35_90_02, k=95, count=5937, t=54.10612300000021, t2=1.8125044999999937
TREEPAIR_1000_35_90_03, k=81, count=6303, t=53.15895000000209, t2=1.8610069999999963
TREEPAIR_1000_35_90_04, k=78, count=5860, t=53.88461530000155, t2=1.7434292999999916
TREEPAIR_1000_35_90_05, k=86, count=4762, t=53.673260000000845, t2=1.4630607000000009
TREEPAIR_1500_35_50_01, k=88, count=5175, t=51.75987820000011, t2=2.334979099999998
TREEPAIR_1500_35_50_02, k=85, count=5117, t=52.41647259999895, t2=2.318973800000005
TREEPAIR_1500_35_50_03, k=75, count=5448, t=52.933089600001864, t2=2.4980063000000015
TREEPAIR_1500_35_50_04, k=88, count=5280, t=52.517338300000276, t2=2.4194786000000104
TREEPAIR_1500_35_50_05, k=83, count=4907, t=52.268727399999705, t2=2.250480699999999
TREEPAIR_1500_35_70_01, k=84, count=4850, t=52.838392200000975, t2=2.2625753000000026
TREEPAIR_1500_35_70_02, k=70, count=4778, t=52.91867339999677, t2=2.249581300000005
TREEPAIR_1500_35_70_03, k=89, count=5188, t=53.22698949999904, t2=2.4017846999999937
TREEPAIR_1500_35_70_04, k=89, count=4806, t=53.00129129999824, t2=2.2883905000000047
TREEPAIR_1500_35_70_05, k=92, count=4640, t=53.401057400000504, t2=2.2164568999999923
TREEPAIR_1500_35_90_01, k=101, count=3287, t=54.93495309999923, t2=1.7562762000000032
TREEPAIR_1500_35_90_02, k=85, count=3142, t=54.922596099999744, t2=1.6895412999999995
TREEPAIR_1500_35_90_03, k=93, count=3621, t=54.81179299999976, t2=1.9377406999999933
TREEPAIR_1500_35_90_04, k=88, count=3127, t=54.638898800000966, t2=1.6822257000000043
TREEPAIR_1500_35_90_05, k=88, count=3531, t=54.16366780000094, t2=1.893758200000003
TREEPAIR_2000_35_50_01, k=85, count=4150, t=52.98976710000058, t2=2.8919247999999937
TREEPAIR_2000_35_50_02, k=93, count=4580, t=51.60042839999793, t2=3.1128406000000064
TREEPAIR_2000_35_50_03, k=86, count=4519, t=52.5677695999962, t2=3.0860191999999955
TREEPAIR_2000_35_50_04, k=87, count=4317, t=52.30174929999843, t2=2.9401370000000004
TREEPAIR_2000_35_50_05, k=84, count=4318, t=52.43702939999902, t2=2.9634657999999905
TREEPAIR_2000_35_70_01, k=85, count=4254, t=52.90610109999982, t2=3.0374111000000035
TREEPAIR_2000_35_70_02, k=92, count=4296, t=52.73134509999854, t2=2.9700694999999997
TREEPAIR_2000_35_70_03, k=90, count=3719, t=52.25212080000045, t2=2.6937173999999993
TREEPAIR_2000_35_70_04, k=86, count=4335, t=52.621010099997626, t2=3.0840093999999927
TREEPAIR_2000_35_70_05, k=84, count=4510, t=52.36745509999925, t2=3.1455010999999993
TREEPAIR_2000_35_90_01, k=79, count=2298, t=54.585289500000584, t2=1.8561857999999996
TREEPAIR_2000_35_90_02, k=104, count=3122, t=54.208063200000424, t2=2.4598908999999964
TREEPAIR_2000_35_90_03, k=104, count=2642, t=53.9807761000007, t2=2.0897919000000016
TREEPAIR_2000_35_90_04, k=99, count=2738, t=55.384847399999, t2=2.165563399999997
TREEPAIR_2000_35_90_05, k=91, count=2458, t=54.743639599999696, t2=1.9633431000000043
TREEPAIR_2500_35_50_01, k=93, count=2868, t=52.594538799999015, t2=2.6782401000000005
TREEPAIR_2500_35_50_02, k=89, count=2799, t=52.96685210000137, t2=2.596380500000002
TREEPAIR_2500_35_50_03, k=78, count=2771, t=53.29406469999864, t2=2.592620300000002
TREEPAIR_2500_35_50_04, k=84, count=3202, t=53.0953622999994, t2=2.9908498000000043
TREEPAIR_2500_35_50_05, k=92, count=2723, t=52.872873400000266, t2=2.5853967000000084
TREEPAIR_2500_35_70_01, k=92, count=2472, t=53.73466750000023, t2=2.3802371000000004
TREEPAIR_2500_35_70_02, k=86, count=2898, t=53.25557590000073, t2=2.724913900000004
TREEPAIR_2500_35_70_03, k=90, count=2722, t=53.22191150000101, t2=2.5769576999999924
TREEPAIR_2500_35_70_04, k=96, count=2668, t=53.09234690000027, t2=2.5261588999999978
TREEPAIR_2500_35_70_05, k=87, count=2718, t=53.327316200001, t2=2.5893697999999965
TREEPAIR_2500_35_90_01, k=97, count=1561, t=54.709809699998715, t2=1.650880900000001
TREEPAIR_2500_35_90_02, k=112, count=1762, t=55.45920639999971, t2=1.8843235
TREEPAIR_2500_35_90_03, k=96, count=1779, t=55.06698549999979, t2=1.8946130999999993
TREEPAIR_2500_35_90_04, k=97, count=1569, t=55.00941749999897, t2=1.6492635999999983
TREEPAIR_2500_35_90_05, k=107, count=1677, t=54.872992599999755, t2=1.8100532000000036
TREEPAIR_3000_35_50_01, k=88, count=2556, t=52.79460060000034, t2=2.8715515000000047
TREEPAIR_3000_35_50_02, k=78, count=2716, t=52.70525439999853, t2=2.9693151999999974
TREEPAIR_3000_35_50_03, k=91, count=2611, t=52.39123739999906, t2=2.9002955000000012
TREEPAIR_3000_35_50_04, k=90, count=2601, t=52.402222500000505, t2=2.9075956000000014
TREEPAIR_3000_35_50_05, k=93, count=2529, t=52.902149600000534, t2=2.864295200000007
TREEPAIR_3000_35_70_01, k=99, count=2420, t=52.64703130000088, t2=2.730037699999996
TREEPAIR_3000_35_70_02, k=92, count=2439, t=53.07710439999961, t2=2.7877818000000087
TREEPAIR_3000_35_70_03, k=90, count=2524, t=52.60736209999807, t2=2.907888999999998
TREEPAIR_3000_35_70_04, k=97, count=2355, t=53.0011477000009, t2=2.7031240000000016
TREEPAIR_3000_35_70_05, k=86, count=2405, t=53.84470720000124, t2=2.7274476000000036
TREEPAIR_3000_35_90_01, k=102, count=1525, t=55.10602389999861, t2=1.9325541999999991
TREEPAIR_3000_35_90_02, k=110, count=1477, t=55.418384999999255, t2=1.8387358000000007
